step,true_value,prediction,lower_bound,upper_bound
80,185.67,200.89389426465414,185.67,217.35937505409194
81,166.33000000000007,184.9917751654737,170.96698689969895,200.1603567223093
82,141.46000000000004,167.27591284350652,154.14108131664383,181.5227889544014
83,127.92000000000002,148.54633858049047,135.86814464437842,162.39892267071258
84,217.32999999999993,134.3727573389459,121.75592273725087,148.28634823408058
85,152.58000000000007,168.61472561110028,151.31227707762977,187.88270660851532
86,181.38,160.49713827110898,142.9417063097751,180.19366748111497
87,159.49999999999997,167.70162665153725,148.5317046975886,189.3291271401765
88,214.82999999999996,163.0005818398729,143.81835980799897,184.72362564716224
89,202.78999999999994,184.7848436855637,162.198003330861,210.49773550411018
90,226.9199999999999,186.21401692889708,162.85685145751603,212.90065671889656
91,192.87999999999994,198.16647599511248,172.4499560325429,227.69585019017984
92,155.96000000000004,184.24593441939413,159.7747724217704,212.44179625949673
93,173.21000000000004,166.43071969228305,143.7830982621475,192.6209836172908
94,132.99999999999997,174.17713281459532,150.01783273761927,202.2013524817197
95,115.88,153.80361964047052,132.0947838214848,179.05334218006413
96,168.96,130.76514625347045,111.76920066606029,152.9609544507825
97,164.58000000000007,172.4434974057032,146.2718725036426,203.26607118462564
98,229.12000000000003,168.77467338276472,142.50615777813078,199.85158831154283
99,150.25000000000003,199.77995967001797,167.10961391758772,238.799445526396
100,177.08,169.59700062869408,140.113523240369,205.24059236287937
101,234.03999999999994,175.99395645832095,143.9887042568007,215.0641463991884
102,152.29000000000005,197.85311133042083,160.3273721219878,244.10756832937568
103,196.42000000000002,173.63758215392474,139.53451551242208,216.01633217551466
104,264.71,184.208476253557,147.06631235252405,230.66768410153924
105,163.49999999999997,206.36981361035686,163.72759497435464,260.0506127008585
106,202.29000000000002,183.40852934653572,144.7452344286953,232.3284229090148
107,110.58,188.0529176764823,147.8234379147869,239.15710282445787
108,208.37999999999997,166.39901885097652,130.2266623041248,212.54221025088714
109,219.17,171.21377263438347,133.56807191275996,219.3909371919517
110,251.83000000000004,177.9873954295828,138.52812493109764,228.60595033070376
111,189.87999999999994,181.27100873698032,140.68540564959426,233.48230587813896
112,227.83,179.54429061556553,139.05389513889997,231.7406948700006
113,300.04000000000013,169.53981781829808,131.1071989932944,219.15325192819023
114,291.54000000000013,200.28753256304853,154.61561130808167,259.36379271169017
115,278.87999999999994,219.06911194832935,168.72928656639,284.339171650749
116,224.7100000000001,233.85337097887748,179.8181039774085,304.0364130962986
117,271.38,218.56920632089833,167.85233525684004,284.51951201063565
118,244.54000000000002,233.0663867278058,178.8782951946778,303.57856706122357
119,281.87999999999994,230.88026438858478,177.15700066840148,300.80378436544106
120,326.6200000000001,244.20689511198228,187.42442597724582,318.1009928708477
121,157.91999999999993,266.7040265264022,204.57147661717246,347.6157077711143
122,279.67,216.009587451762,165.42974146040228,281.961210134359
123,313.37999999999994,234.47565648065452,179.4495113081763,306.2814350840682
124,293.2500000000001,252.24578832938144,192.80228386168997,329.92194802172554
125,311.2099999999999,259.94351838931715,198.5205002803163,340.2758072164552
126,323.71000000000004,271.9971625847181,207.6460008640961,356.19568297813345
127,263.7900000000001,281.24939522625976,214.7021408629162,368.3274475018688
128,307.8799999999999,271.2758408329731,207.13338452223684,355.1856915529187
129,336.92,277.1002975866323,211.63199543050104,362.72595460616844
130,327.88000000000005,288.3858383394076,220.3017150843971,377.4162422756847
131,326.42,297.86065213973654,227.583320853336,389.7445611689961
132,307.12,301.3766464472919,230.30344060744434,394.2886998852877
133,193.46000000000004,298.56015639819765,228.42437425746405,390.13667670118167
134,218.95999999999995,258.85834091492393,198.00466672705198,338.3204714926293
135,145.54000000000005,240.3100514600047,183.78956379740885,314.1181253908379
136,204.57999999999998,200.89562517543655,153.44258998066243,262.92877424604256
137,294.2900000000001,205.36243821075277,156.87712582962908,268.7379729995988
138,179.16999999999993,255.5841605733305,194.94943157131556,334.9817424791044
139,169.71000000000006,218.46056788398113,166.26094764182855,286.95090267630957
140,166.75,212.42198823633282,161.3799943046297,279.50835484880116
141,224.88000000000005,200.74380097285234,152.27120416195893,264.5460394763148
142,298.16999999999996,222.90927298625738,168.90040296168553,294.08677822583167
143,218.32999999999998,267.83891632089717,202.76096562751178,353.70170994731427
144,158.49999999999994,242.60314330591297,183.4557882597745,320.7166128988449
145,205.45999999999995,214.38269040562392,161.8348419560702,283.8880667620258
146,219.8799999999999,217.80988276695248,164.20817786572675,288.8026321396767
147,300.5800000000001,223.5101965485042,168.44582044479836,296.46870251467044
148,294.7900000000001,265.98861035137634,200.29215828505414,353.1266518510561
149,279.46,264.73251493243254,199.16458957081488,351.77852912806793
150,331.96000000000015,259.2812879812873,194.9770146846838,344.6851763059965
151,357.66999999999996,283.29929797274514,212.9952791223796,376.7003453500155
152,334.54,297.9948353760805,223.99785330919357,396.3278423182033
153,320.0,287.3555840158579,216.8951595561651,380.6006881589027
154,362.08,293.09446800786174,222.0180025100177,386.8232032364388
155,229.46000000000006,323.8147680800587,246.05440689090557,426.0501987422191
156,220.37999999999994,234.71122322168833,178.7402354847498,308.1115386759277
157,255.58000000000015,236.3112741564592,180.35327015838033,309.5355684657873
158,244.08,258.96158933208187,198.02923904925493,338.54824050418824
159,347.0400000000001,245.39757665478,188.1082920546465,320.04232512345015
160,323.7899999999999,310.9032682074969,238.67055225050356,404.90572268902247
161,353.49999999999994,287.58627089668056,220.97953474567706,374.17889135802045
162,325.21,309.33385941641137,238.12690249616193,401.7447488967944
163,355.4200000000001,290.2857198435757,223.9530046810901,376.17820531037546
164,264.88,311.74549896493164,240.98642392974833,403.1951839051081
165,367.96,256.60278804016644,198.6428323040452,331.38957612565554
166,342.12000000000006,320.76709981129295,248.52664127267562,413.92189368201167
167,310.21000000000004,306.70021300899106,237.74505487332644,395.5712342649927
168,195.38000000000002,295.96451764562534,229.519546746063,381.5615917839951
169,227.66999999999996,216.21511478880944,167.67874231401314,278.7175592220191
170,258.3299999999999,240.1374505858791,186.4574263631104,309.18920510742726
171,160.61999999999995,262.58061312159066,204.2693546307077,337.4564624297817
172,190.17,196.23892611672613,152.83673359780997,251.88624547494413
173,198.83000000000004,216.21789741807333,168.63727160104688,277.1441514203029
174,288.50000000000006,223.6590599077999,174.6402817330054,286.3583024387284
175,304.9199999999999,273.97555493908374,213.99208262297046,350.6946061062923
176,230.2500000000001,288.90110597116006,225.67426421409561,369.7639750577191
177,193.08,249.4507240662256,194.837114979605,319.29457333370686
178,263.5399999999999,225.65336901652287,176.10326963224904,289.0666362242344
179,327.75000000000006,268.5116575809391,209.46500361663163,344.12404591660754
180,347.7099999999999,303.6142677181521,236.75508967127092,389.2749347059647
181,322.3299999999999,312.0517207519715,243.234119880009,400.25998740027785
182,135.74999999999997,300.7307623647095,234.49110853733973,385.6025070868149
183,339.4999999999999,188.3070414982252,146.6848851578438,241.65960543293542
