step,true_value,prediction,lower_bound,upper_bound,width,covered
80,67.33,70.83086776660795,46.330271086844185,108.01424068830418,61.68396960146,True
81,73.16,75.56937692228261,49.475354822997986,115.15311081667325,65.67775599367526,True
82,83.25,80.35824287757971,52.67808154396257,122.31222528335199,69.63414373938943,True
83,93.82,92.5494325261794,60.420335240614065,141.48532333283788,81.06498809222381,True
84,80.34,104.43582205860444,67.48025103899317,161.3345768233787,93.85432578438554,True
85,71.74,78.27201474979321,50.10508796413261,121.96334030188555,71.85825233775294,True
86,65.7,66.23450692857966,42.27889062419687,103.44997218579044,61.171081561593574,True
87,59.37,61.65467911012195,39.29862592827493,96.41296939948538,57.11434347121045,True
88,54.38,55.22448517586347,35.14989973814341,86.44679117202006,51.296891433876645,True
89,49.55,50.94540635562779,32.40654317828809,79.77235729092187,47.365814112633785,True
90,46.19,46.26868003433499,29.418119224150995,72.45385478055312,43.035735556402116,True
91,44.01,43.72906608528733,27.813247974489943,68.43643960699359,40.62319163250365,True
92,43.29,42.347666881520304,26.962908058669747,66.19688167370963,39.23397361503988,True
93,45.4,42.6215176653616,27.19091255480234,66.49823368542584,39.30732113062351,True
94,47.08,46.79583103447057,29.96310906145345,72.7794599289644,42.81635086751095,True
95,54.06,48.3435721384541,31.081306038194626,74.89429521616321,43.81298917796859,True
96,60.26,59.6533795461898,38.55407310513674,92.00767687301465,53.45360376787791,True
97,136.75,65.431554920186,42.37300554389623,100.7488051328908,58.37579958899457,False
98,228.79,246.45773584497397,162.07944292746706,374.4938693085712,212.41442638110416,True
99,272.87,360.1033524807206,238.68176404282298,543.0365131388064,304.35474909598344,True
100,211.29,302.3823567872612,202.03114390665345,452.3336740303752,250.30253012372177,True
101,214.44,175.02371113182002,117.78434191571434,259.8453806361444,142.06103872043008,True
102,201.37,221.8383327630655,148.59118723026174,330.9508553146726,182.35966808441086,True
103,154.98,193.22170599223472,130.64699338927477,285.5395563345032,154.8925629452284,True
104,119.15,132.2075719834002,90.03855518737991,193.90925792034665,103.87070273296673,True
105,96.01,102.80283816327902,70.4323463919712,149.842437005023,79.41009061305179,True
106,85.09,85.0603710888446,58.582453123611494,123.30484284667054,64.72238972305905,True
107,74.13,79.98606003170079,55.382405089359814,115.32604017269873,59.94363508333891,True
108,69.41,68.31819051773392,47.503855446550475,98.06452780744016,50.56067236088968,True
109,79.39,67.26296680809534,46.99092875115421,96.0981966530717,49.10726790191749,True
110,89.35,86.94063884881758,61.12684366261689,123.48010401326114,62.35326035064425,True
111,78.8,94.94713541959324,66.96975305567351,134.4404331539254,67.47068009825189,True
112,69.7,72.02647752239211,51.56485172374653,100.45308593954013,48.8882342157936,True
113,66.57,65.62974445529083,47.430448241060546,90.66801067129954,43.237562430238995,True
114,62.98,65.41607866520566,48.3038815427468,88.46750980322587,40.163628260479065,True
115,57.28,60.958572903148706,45.90774192205201,80.83861765450037,34.93087573244836,True
116,51.89,54.20048457739056,41.72133717270504,70.32486245129849,28.603525278593445,True
117,47.71,49.18525949878958,38.2080415709211,63.23580903435783,25.02776746343673,True
118,43.03,45.644085415215024,35.73857879638278,58.220328480319075,22.481749683936293,True
119,38.88,40.589050598894126,31.987413970824676,51.4336078980651,19.446193927240422,True
120,35.32,36.81023664939721,29.17266420650836,46.38109918629747,17.208434979789107,True
121,32.0,33.531471822628134,26.701520319107654,42.045382798519704,15.34386247941205,True
122,29.59,30.30682627810771,24.23008430218525,37.84716990512492,13.617085602939671,True
123,28.34,28.404451261044365,22.820781558359794,35.296951543963864,12.47616998560407,True
124,27.79,27.76199972789685,22.59950790572377,34.05380839516991,11.45430048944614,True
125,28.03,27.543725128719444,22.479953486022332,33.69956806809302,11.21961458207069,True
