step,true_value,prediction,lower_bound,upper_bound,width,covered,k_adap,t_adap,n_cal
80,14.09,16.011479200610935,12.01863404353586,21.228939197849982,9.210305154314122,True,0.202,0.404,48
81,14.04,12.03616970193491,8.908879555436682,16.150447691576208,7.241568136139525,True,0.20400000000000001,0.40800000000000003,48
82,13.75,15.519629591401586,11.080536954558207,21.589903318340617,10.50936636378241,True,0.20600000000000002,0.41200000000000003,47
83,12.47,11.654327543759214,6.803812205487482,19.51971541192925,12.71590320644177,True,0.20800000000000002,0.41600000000000004,47
84,13.57,12.71776830897242,7.290936744591127,21.696731765733443,14.405795021142316,True,0.21000000000000002,0.42000000000000004,47
85,12.59,13.842584316434227,7.854032171536778,23.88157993130737,16.02754775977059,True,0.21200000000000002,0.42400000000000004,46
86,10.89,11.027308636708561,6.425627105761796,18.480664862688933,12.055037756927137,True,0.21400000000000002,0.42800000000000005,46
87,10.1,10.37541224673987,6.0239196304398845,17.422762587215928,11.398842956776043,True,0.21600000000000003,0.43200000000000005,46
88,10.0,9.524825530664518,5.786955023795734,15.32130345089223,9.534348427096496,True,0.21800000000000003,0.43600000000000005,45
89,10.85,10.167364282161616,5.977243184392579,16.873825193518172,10.896582009125593,True,0.22000000000000003,0.44000000000000006,45
90,12.06,11.178241147175896,6.5112343038611336,18.74503143411861,12.233797130257475,True,0.22200000000000003,0.44400000000000006,45
91,13.18,12.534514301743929,7.658496117254524,20.156454296845666,12.497958179591143,True,0.22400000000000003,0.44800000000000006,44
92,15.1,13.349471921216772,8.418570808638068,20.861845985055872,12.443275176417805,True,0.22600000000000003,0.45200000000000007,44
93,19.75,16.433833891143426,10.684656375287137,25.011767430902495,14.327111055615358,True,0.22800000000000004,0.45600000000000007,44
94,19.0,22.799144934269584,15.29295684403387,33.76344441492661,18.47048757089274,True,0.23000000000000004,0.4600000000000001,44
95,19.45,15.325179883569017,10.309157439494399,22.56599062810478,12.256833188610383,True,0.23200000000000004,0.4640000000000001,43
96,16.34,20.91062128513402,14.832514707850386,29.322114582500767,14.48959987465038,True,0.23400000000000004,0.4680000000000001,43
97,14.18,14.39338939034665,10.554704353651973,19.507356109716866,8.952651756064894,True,0.23600000000000004,0.4720000000000001,43
98,15.36,13.74308839141328,10.436670103809872,18.005414455787864,7.568744351977992,True,0.23800000000000004,0.4760000000000001,42
99,15.69,15.82221002396211,12.436727602339928,20.06068966085245,7.623962058512522,True,0.24000000000000005,0.4800000000000001,42
100,14.89,15.21121963899009,12.276590379090957,18.79451310010003,6.517922721009073,True,0.24200000000000005,0.4840000000000001,42
101,14.03,14.359434457952196,11.846471123645196,17.36397128810803,5.517500164462833,True,0.24400000000000005,0.4880000000000001,41
102,14.43,13.536692871524254,11.394303885128258,16.04939959513001,4.655095710001751,True,0.24600000000000005,0.4920000000000001,41
103,14.55,14.579520767287411,12.50413404499293,16.973863894540955,4.469729849548024,True,0.24800000000000005,0.4960000000000001,41
104,13.27,14.2028759218371,12.358853457660818,16.301442599643988,3.94258914198317,True,0.25000000000000006,0.5,40
105,12.19,12.533112359513806,11.025488652932141,14.229745370103492,3.2042567171713507,True,0.25200000000000006,0.5,40
106,14.56,11.795818975882641,10.47910558008062,13.263566278864067,2.7844606987834464,False,0.24400000000000005,0.492,40
107,22.33,15.914598789171269,14.280726339636015,17.723170995904972,3.4424446562689575,False,0.23600000000000004,0.484,41
108,147.23,26.36357528678389,23.854696800753484,29.125704549040844,5.27100774828736,False,0.22800000000000004,0.476,41
109,73.91,489.1805317046462,419.19298444253803,570.8252387793207,151.63225433678264,False,0.22000000000000003,0.46799999999999997,42
110,45.05,54.635890648817536,46.646061923294845,63.96554391568341,17.319481992388567,False,0.21200000000000002,0.45999999999999996,43
111,36.15,35.077117502102226,29.666727339345204,41.44203800614225,11.775310666797044,True,0.21400000000000002,0.46399999999999997,43
112,36.91,29.630710649776578,24.800012451401926,35.365890779225346,10.56587832782342,False,0.20600000000000002,0.45599999999999996,43
113,36.7,30.968082258178455,25.507243848150818,37.55392469771833,12.046680849567512,True,0.20800000000000002,0.45999999999999996,44
114,30.93,30.879356437163423,25.111329521551337,37.92154805862725,12.810218537075915,True,0.21000000000000002,0.46399999999999997,43
115,26.33,26.47240875969253,21.17793819244141,33.03081190463665,11.85287371219524,True,0.21200000000000002,0.46799999999999997,43
116,23.66,23.698504291408117,18.626775420258465,30.080811858837276,11.454036438578811,True,0.21400000000000002,0.472,43
117,19.69,21.995949473394393,17.02751846388834,28.333693000631015,11.306174536742674,True,0.21600000000000003,0.476,42
118,16.69,18.914905924792873,14.424307935493891,24.712886416167812,10.288578480673921,True,0.21800000000000003,0.48,42
119,14.6,16.760069849210932,12.613902499112932,22.168968711903418,9.555066212790486,True,0.22000000000000003,0.484,42
120,13.62,15.16559188740925,11.288468856762027,20.265982289280135,8.977513432518109,True,0.22200000000000003,0.488,41
121,13.43,14.503277764335,10.70493454240171,19.53421320447699,8.82927866207528,True,0.22400000000000003,0.492,41
122,12.87,14.39750491340124,10.568664743106229,19.49356281151576,8.92489806840953,True,0.22600000000000003,0.496,41
123,12.75,13.824627610020325,10.09938931329921,18.80015094275958,8.70076162946037,True,0.22800000000000004,0.5,40
