step,true_value,prediction,lower_bound,upper_bound
80,11.530000000000001,11.202275865710094,10.56961884257402,11.869528229831003
81,12.05,11.650184461680476,10.995487481934633,12.340613889643523
82,13.820000000000004,12.219704529485153,11.53739556624623,12.93914604699791
83,13.429999999999996,14.850002122620202,14.052963548185799,15.68924305057143
84,11.639999999999999,12.54633649905499,11.855094550297299,13.274747791830556
85,9.959999999999999,11.021515214518807,10.4087735658782,11.667165950697248
86,8.76,9.229034423943009,8.711223260348712,9.774455744770297
87,7.539999999999999,8.376459827043453,7.910274663122543,8.867035777475067
88,6.390000000000001,6.95804963307841,6.570440124968596,7.365504900258639
89,5.97,5.9822527747414735,5.648820214558025,6.332406688278267
90,5.669999999999999,5.907114147455005,5.5858364006459125,6.244064829987887
91,5.61,5.470654749958351,5.177799499223526,5.777392645782863
92,5.6899999999999995,5.659987339439583,5.3652826647213505,5.968336474251024
93,5.7700000000000005,5.663747570038918,5.375742649129335,5.964762243542492
94,6.22,5.795071169039594,5.508189234839622,6.094598900895501
95,7.65,6.461343504858782,6.159467148762578,6.775948368883912
96,21.369999999999997,8.46844947834748,8.098695814494024,8.853229226677271
97,49.1,39.412407150369596,37.7884520797004,41.10435230391535
98,66.1,51.70401023304888,49.540130256457665,53.960536914928205
99,52.45,74.05977124262341,71.00792224012672,77.24096410124446
100,49.1,38.30539137188623,36.64306772251681,40.041123488801986
101,42.97,52.95433803062339,50.66639992759548,55.34359267149065
102,39.120000000000005,35.197568938251536,33.59846811877155,36.870578331431474
103,27.609999999999992,38.73690542588681,36.913136171671184,40.64840507195294
104,18.85,21.096209467670406,20.00551276311096,22.243539843340507
105,14.189999999999998,16.761445340872356,15.817222113992727,17.758683120104077
106,10.770000000000001,12.431170679350526,11.66221502279155,13.24682375817644
107,8.889999999999999,9.831565607253108,9.168097970498364,10.538324457988884
108,9.039999999999997,8.520537744066921,7.9000243821386675,9.184313552905344
109,13.1,9.613216551509637,8.876162515810616,10.405276633400238
110,12.010000000000002,15.749676480433873,14.481839824780241,17.12133863768236
111,9.8,10.211081852519401,9.302380957703027,11.199932891232626
112,8.709999999999999,9.91365798456392,8.981883158842423,10.932410819548052
113,8.430000000000001,8.444124434098791,7.610779315102379,9.358120103056127
114,7.210000000000001,8.885407266734717,7.989429382234293,9.870687412299716
115,6.2,6.799522987485252,6.081161248553381,7.590760285926045
116,5.59,6.3623466301169005,5.67914138628895,7.11543651602657
117,4.949999999999999,5.620480633088632,5.012740910990713,6.289647843129782
118,4.49,4.998831980313057,4.457262101043319,5.594146379948818
119,4.17,4.593626919466917,4.101086397172183,5.133725186762178
120,3.8599999999999994,4.277739888947603,3.8258921931964087,4.771894029182473
121,3.58,3.9359217738402537,3.520941976833109,4.3889927989159165
122,3.3900000000000006,3.67084278588076,3.2862099759668926,4.089991496623509
123,3.34,3.5026098500095033,3.1372169740365567,3.90027368364545
124,3.41,3.520623056189292,3.160003477404717,3.912503782064035
125,3.46,3.6069023128531255,3.2518529422348443,3.991599946778975
126,3.5199999999999996,3.642752441252628,3.290692109691724,4.023700065094141
127,3.5700000000000003,3.6939452775546,3.34433169866558,4.071694289698207
128,3.58,3.7174517115094172,3.3683280532344133,4.094477882435016
129,3.49,3.6493315571046496,3.292435810600888,4.035901497817188
130,3.4499999999999993,3.4784356282073876,3.1266484502823504,3.8602118444630324
131,3.5500000000000007,3.502412678273073,3.1384397694986568,3.898396752051773
132,3.539999999999999,3.6507970485078287,3.258708303539419,4.078984434888973
133,3.4399999999999995,3.542779160518477,3.130582889778265,3.996109036404974
134,3.3599999999999994,3.4467644095474084,3.017455397116822,3.9219497814981006
135,3.4499999999999993,3.378596583100194,2.9469083819227126,3.857500145011503
136,5.13,3.5659858942264204,3.0911991009779074,4.095872058949992
137,4.949999999999999,6.23150059889474,5.445386012210059,7.113494027006102
138,4.35,4.654164490571424,4.018062331779933,5.370900553381336
139,3.9800000000000004,4.302346838223535,3.681192047917089,5.005923641891368
140,3.87,3.895594701759748,3.3271111340178186,4.538764025606241
141,3.5700000000000003,3.917374870554241,3.327421882914214,4.587755544017913
142,3.3100000000000005,3.485151937442377,2.9306156879454153,4.11792286476583
143,3.26,3.2955360343583404,2.7423063047224248,3.9305503932659986
144,3.1899999999999995,3.312094521083192,2.7414252514083004,3.969806399782196
145,3.9800000000000004,3.2104323177510787,2.6447790551844212,3.8638724141992533
146,3.7699999999999996,4.330346378499236,3.6363642505102227,5.128205416917615
147,3.539999999999999,3.6979565630663824,3.081913519608679,4.406972921507253
148,3.4399999999999995,3.599376065945755,2.954897902908648,4.348876435074758
149,3.4000000000000004,3.5229971998933145,2.8028805567657833,4.379475732901049
150,3.0199999999999996,3.5096675722218187,2.697358683227216,4.500440545356537
151,2.67,3.1699795797261947,2.335752091106641,4.212836332080275
152,2.37,2.90555391603435,2.082440316123467,3.9484660939791167
153,2.24,2.5677044770712576,1.8331916062795313,3.4926418698624593
154,2.02,2.420045123849108,1.7507645263288993,3.2521664567101976
