step,true_value,prediction,lower_bound,upper_bound
80,252.68000000000006,264.1640017435962,220.59643537009703,316.29728731081394
81,231.02999999999992,270.2776145809237,226.47853021692424,322.509845533726
82,243.65999999999994,235.9657788659238,197.90542851265405,281.3089383403206
83,254.97999999999993,268.830577328688,225.31163641847795,320.7180592822065
84,307.73999999999995,266.9102125228334,223.83019149989835,318.24485539595423
85,493.27000000000015,332.9498839090289,279.43222800787925,396.68084344328804
86,521.0299999999999,528.2464343105457,443.31189427681505,629.4170377575306
87,488.5199999999998,440.4236326668676,370.0565228413867,524.1351518757887
88,529.5799999999999,456.2947289501185,384.79026371534945,541.0522205813306
89,410.3600000000002,507.8881992036368,429.3140534526837,600.8097647772867
90,388.1800000000002,345.68411777515814,292.2415512969104,408.86646328250424
91,399.3600000000002,395.12624844955474,335.01834218932464,465.9864260633318
92,448.7900000000002,380.96374278670146,324.009550031502,447.898504026987
93,467.37,447.5710051911875,381.78596669198197,524.661764555088
94,456.78999999999996,435.76006800842055,372.1456433873704,510.21957441343835
95,484.80999999999983,434.2515869639991,371.1790313548793,508.0129426825272
96,479.44000000000005,474.51670811395826,405.82466897381715,554.8073463585563
97,488.70000000000016,449.70718738327713,384.74417284912533,525.6105959775488
98,594.1199999999998,472.3747385697272,404.22165051101126,551.9903025501557
99,706.6500000000002,599.6504574843938,512.3008467542714,701.8645566387024
100,868.7399999999997,689.4911286267376,589.9641537307925,805.7798963816966
101,948.11,879.5697923348632,753.1861774457261,1027.1322866441224
102,946.8400000000004,891.0716560415317,760.0154022280523,1044.6974158247158
103,963.6900000000005,904.8382061737457,770.7116326518635,1062.2765155352204
104,958.3499999999999,932.531698855076,791.6099109184755,1098.5086243084857
105,874.9899999999999,917.0612199166137,768.7367059979458,1093.9671451903325
106,783.8399999999999,805.2179405421339,674.9910117077613,960.5325594491732
107,786.6500000000001,736.122759776459,613.6453032810564,883.0057185501796
108,706.5000000000001,785.032001403575,650.7059611020825,947.0445846861465
109,707.7400000000002,647.8924701358244,536.0443922890091,783.0346977729516
110,719.0099999999999,714.7851005813264,591.2336725753199,864.111752235026
111,738.7400000000001,700.5005018920173,577.2217982209523,850.0626124245628
112,897.4900000000001,737.3372492053985,609.0841234286805,892.5520080419244
113,1108.7800000000002,962.1691450504238,790.9200519675095,1170.4500721030174
114,1218.2699999999998,1151.649274623502,949.058119289259,1397.4411304058056
115,1335.3099999999995,1200.264981116998,979.0965512261884,1471.3422432745554
116,1445.4299999999998,1358.9680563449854,1107.6687112035927,1667.2288366115151
117,1482.24,1444.9000669455775,1176.8886042082918,1773.8936496405138
118,1412.2400000000005,1456.8991338770832,1185.6290286903482,1790.1831188769888
119,1368.7899999999997,1349.6299258648623,1100.510077283198,1655.0912462471479
120,1345.1399999999996,1355.2938669210046,1092.0782976906269,1681.8923027142318
121,1241.4599999999998,1308.9173670676441,1052.9245451698164,1627.0895215975381
122,1112.4699999999998,1174.5208249501663,932.0575142881146,1479.9903877638399
123,1047.1599999999999,1052.069614429231,833.1658929861321,1328.4185511041576
124,1014.3000000000004,1027.3264525715315,807.231693527057,1307.3566278423227
125,986.63,990.6506279299697,781.7553396706481,1255.294167584556
126,1038.4899999999996,970.6908898254707,764.4474436567479,1232.5049168878252
127,1108.8099999999997,1072.889638975663,845.2684405212664,1361.7342123132141
128,1130.2199999999998,1114.6841232151467,874.9605719483027,1420.012660450901
129,1189.6900000000005,1122.3779771535392,877.5617277884572,1435.4136743473541
130,1228.8600000000004,1217.2916368174506,953.1620269699202,1554.5371838185017
131,1257.03,1210.34863315248,945.59669823805,1549.1485624993895
132,1347.58,1258.3510782440821,989.054861982455,1600.8962172448155
133,1379.6500000000003,1376.7760170355632,1078.6057512501957,1757.2962585371242
134,1626.4499999999998,1348.4736232264747,1056.3581172907138,1721.2916531346732
135,1829.5300000000007,1791.7492637896478,1396.8257326081596,2298.249361235835
136,1959.3800000000008,1788.1199465117425,1400.6582481922535,2282.6880438826715
137,2026.039999999999,2013.1606281759023,1565.4930219276123,2588.7613199080133
138,2048.6299999999997,1965.4559461318413,1521.923876538238,2538.1610491177316
139,2040.0499999999995,2070.0468199049706,1594.9816109339204,2686.5215233392073
140,2025.7700000000004,1990.8318034239285,1541.781467056972,2570.5851647474524
141,1886.9599999999994,2022.371693653449,1564.6503432231946,2613.908896101071
142,1756.1999999999998,1774.929437927851,1383.4775738944154,2277.061723764159
143,1664.5,1719.27783048904,1341.7977282702077,2202.873116380917
144,1584.8300000000004,1611.5691643305686,1270.418909302029,2044.2576965190165
145,1549.2199999999998,1550.4098720427776,1224.854352633617,1962.4245992608166
146,1467.0499999999995,1535.803754750192,1223.549531315797,1927.6812988908132
147,1455.7499999999998,1420.7907796743368,1128.7357221352356,1788.3468194015156
148,1365.61,1473.4572015506615,1180.6586726787377,1838.8071198311839
149,1356.9599999999998,1313.1810575084044,1059.682743084084,1627.264307282123
150,1451.77,1383.4433886089591,1127.108540734571,1698.0240097065519
151,1458.2300000000005,1487.5588426253107,1221.6290035036607,1811.3301685206345
152,1444.0999999999997,1439.0585166581632,1190.045362569644,1740.133122692839
153,1461.2900000000002,1444.217356992624,1203.9401587311306,1732.4082475533176
154,1469.7,1465.4355518230864,1228.4903447318948,1748.0444206128416
155,1401.1200000000003,1465.0212711891647,1234.6203625082744,1738.3840639015061
156,1335.0800000000004,1364.7334780723768,1155.0813371206275,1612.40545274545
157,1278.1200000000003,1317.585093364926,1117.4297812115692,1553.5604003505102
158,1280.4500000000005,1258.4929612817,1072.8983049793108,1476.162699822594
159,1258.3600000000001,1294.1363136755313,1104.780416442113,1515.9178672905662
160,1237.3899999999996,1245.9107175179604,1068.695711142173,1452.484688464371
161,1135.2100000000003,1239.9578669898735,1067.424069490734,1440.353177655469
162,1025.1900000000003,1098.3786414794229,949.2132659744456,1270.9601384450107
