step,true_value,prediction,lower_bound,upper_bound
80,67.33000000000003,70.83086776660795,53.987117792616594,92.83422465537433
81,73.15999999999997,75.56937692228261,57.6572192708882,98.95137095045264
82,83.24999999999997,80.35824287757971,61.34036316429789,105.17781719818441
83,93.82000000000002,92.5494325261794,70.71426509380963,121.03285238330665
84,80.34000000000002,104.43582205860444,79.83822526566954,136.51801869275766
85,71.74000000000002,78.27201474979321,60.34558255205277,101.43691658090145
86,65.70000000000002,66.23450692857966,51.42459463418833,85.22820936380175
87,59.37000000000001,61.65467911012195,48.171350401036094,78.83528583973225
88,54.380000000000024,55.22448517586347,43.43068011499137,70.1488711203471
89,49.54999999999999,50.94540635562779,40.288298967971336,64.35326736382322
90,46.190000000000005,46.26868003433499,36.734062195194994,58.21249879300975
91,44.00999999999999,43.72906608528733,35.007434617206435,54.56322948666706
92,43.29,42.347666881520304,34.12860334746436,52.489750374800565
93,45.39999999999999,42.6215176653616,34.686560154219656,52.32082428808871
94,47.07999999999999,46.79583103447057,38.51449103914142,56.81275183356877
95,54.06000000000001,48.3435721384541,40.32029575438609,57.92475034195208
96,60.259999999999984,59.6533795461898,50.17549594846221,70.886600846605
97,136.75000000000003,65.431554920186,55.38828579348061,77.26362208059746
98,228.7899999999999,246.45773584497397,210.0152868220141,289.1938146366207
99,272.87000000000006,360.1033524807206,308.2618848163112,420.63498825684644
100,211.29000000000002,302.3823567872612,260.02549440129036,351.6125086781487
101,214.4399999999999,175.02371113182002,151.74418365391674,201.85123884534838
102,201.37000000000006,221.8383327630655,193.9176172242234,253.7585141649864
103,154.97999999999996,193.22170599223472,170.2503809950736,219.2743775479204
104,119.15000000000005,132.2075719834002,116.56168284665519,149.93571990508127
105,96.01,102.80283816327902,90.66550684875088,116.54726048186059
106,85.09000000000002,85.0603710888446,75.03123488085909,96.41243166121723
107,74.12999999999998,79.98606003170079,70.57809207200785,90.63057759153627
108,69.41,68.31819051773392,60.31656534252069,77.36400342732122
109,79.38999999999997,67.26296680809534,59.534918334996746,75.97759847722732
110,89.35,86.94063884881758,77.28053113955427,97.79283965704322
111,78.80000000000001,94.94713541959324,84.67455422575827,106.45142333589173
112,69.70000000000002,72.02647752239211,64.35888935796298,80.59358997245127
113,66.56999999999998,65.62974445529083,58.75132089572142,73.29999503986294
114,62.98000000000001,65.41607866520566,58.65619818083022,72.94194802511295
115,57.27999999999998,60.958572903148706,54.750441489456165,67.8580153561801
116,51.89,54.20048457739056,48.74013842081667,60.260253676807224
117,47.71,49.18525949878958,44.11664846288278,54.82330152544142
118,43.03000000000001,45.644085415215024,40.850907905773695,50.98622474619535
119,38.88,40.589050598894126,36.25312422662325,45.42963954366189
120,35.32000000000001,36.81023664939721,32.939028957604044,41.12300821185147
121,32.0,33.531471822628134,30.051222522378822,37.401790634090936
122,29.59,30.30682627810771,27.194948841385553,33.762161730507
123,28.339999999999996,28.404451261044365,25.517011891901124,31.606304114801404
124,27.789999999999996,27.76199972789685,24.967545350020764,30.85717468466372
125,28.029999999999998,27.543725128719444,24.7948128351593,30.585584645660347
126,27.59,28.24067083139444,25.44668047079523,31.32983555778
127,27.32,27.178002379594275,24.493670849254666,30.144978014322877
128,26.910000000000004,27.270648034705395,24.51515288291138,30.323721396843805
129,25.950000000000003,26.105986414925244,22.824880435055274,29.838958521909042
130,24.35,25.509819957273137,22.06138239394254,29.47391271529462
131,24.140000000000004,22.76273325151759,18.353908324640113,28.175889547016336
132,24.140000000000004,24.781598040023976,19.77660247928442,30.992275838174535
133,22.500000000000004,23.686574225583076,18.219268768792112,30.709164085618013
134,21.270000000000003,20.81557895636703,15.084605049798938,28.588509243963877
135,21.459999999999997,20.783746321234428,14.174315506051606,30.272026972066616
136,29.269999999999996,22.05078140632985,14.470933753355839,33.34430861855044
137,41.31,42.293841952803554,26.247060086705886,67.79115563549736
138,33.29999999999999,45.86291466200255,23.93780750800123,87.06438857600088
139,30.550000000000004,24.115428992158524,12.03153582707503,47.40448446219241
140,27.84,35.729190506266605,17.059794005236423,73.69816293887264
141,27.659999999999993,24.44461775680874,12.280341166042264,47.7508991444871
142,24.6,28.45760012890418,15.484059878543771,51.641777071187995
143,21.51,23.16738537710739,13.292096267482906,39.86611963945916
144,20.829999999999995,20.64746265624765,12.4455837658733,33.852532073991355
145,21.790000000000003,20.834825885601603,13.142226302602879,32.711779973906246
146,23.07,22.264313386830477,14.62960759896742,33.62839830965534
147,21.130000000000003,23.492527355163546,15.980510439906311,34.32778937160999
148,18.869999999999997,20.161709681119532,14.108187480112301,28.640746596338868
149,17.94,18.322632549699154,13.14329258140695,25.39867106627809
150,17.590000000000003,17.77679106345171,13.032013819566268,24.12596461021857
151,15.579999999999998,17.51522587756561,13.073511877836095,23.358780684809798
152,14.050000000000004,14.832868834073802,11.203297864895276,19.54196646613909
153,12.600000000000001,13.78064795892817,10.528602898739756,17.950045899286646
154,10.410000000000002,12.139776019743065,9.360656479116523,15.664360428996435
155,8.530000000000001,9.701973150798302,7.525165878042115,12.434604201122141
156,7.950000000000001,7.9654773995661134,6.219827803155609,10.133199737395225
157,7.789999999999997,7.897081399628384,6.231507878210181,9.946272722751319
158,7.43,7.7315243856216185,6.153512610670779,9.657633843124808
159,6.960000000000001,7.274602402076553,5.824982788567089,9.03211979188393
160,6.050000000000001,6.78933577616675,5.462538607774011,8.388532203255965
161,4.710000000000001,5.674588295927659,4.567988917807704,7.0011166648793015
162,3.9700000000000006,4.187508815306445,3.351649727726395,5.183918603885856
163,3.5,3.7643618774112255,3.015209028694535,4.6532907593878345
164,2.9700000000000006,3.3114904599837978,2.64684620416926,4.097267322455076
