step,true_value,prediction,lower_bound,upper_bound
80,230.92000000000007,229.37749741530308,227.84525403301984,230.92000000000007
81,149.16999999999996,230.46493660149167,228.9254606486867,232.01472018270186
82,165.28999999999994,190.45119272960002,187.91297359059135,193.02351517170737
83,129.95999999999998,185.61470174866838,175.08572708608042,196.7732521825579
84,215.45999999999995,160.35109331454765,144.58774005221738,177.82120640420885
85,136.00000000000003,182.7072306671984,159.71124991458848,208.99367883298223
86,74.49999999999999,164.1442907560688,139.07180625511378,193.70468396511671
87,124.57999999999996,117.215687639537,95.14866074214935,144.34730589297004
88,137.03999999999996,118.36750023972078,93.7584224581036,149.36763744963784
89,258.5799999999999,127.13078091155774,99.21354976648874,162.8251220045654
90,164.66999999999993,203.24032857816476,155.60952823835697,265.35743231553926
91,167.28999999999994,161.45136786695988,121.92139291862304,213.69368590150495
92,138.12,164.96548661255312,123.50713958748362,220.22862060603094
93,140.54,152.65437520947836,113.74452812778758,204.75854383855042
94,187.16999999999993,149.06141560715145,110.92939373444173,200.18422607959778
95,88.75000000000004,177.12938985898566,131.85397906347495,237.8342430931219
96,41.38,125.96299701211848,93.25715646782568,170.01728096159542
97,92.33000000000004,64.13230283998699,46.83481548134586,87.68471280910688
98,45.33,101.64774055990043,73.81823404524842,139.8287535319311
99,118.87999999999995,59.59149253905325,42.58994568914836,83.22421524200512
100,111.08000000000004,90.43421121746636,63.043108956900724,129.54042998734568
101,75.33,98.81396089309756,68.11385484914396,143.15093487282468
102,113.50000000000003,84.25450145033044,57.65097566665674,122.92513397993588
103,150.66999999999993,98.99706808950945,67.63997926086631,144.67914696616108
104,218.17,119.4144097870217,81.13687007882402,175.53010238206028
105,133.38000000000005,159.93854730606893,108.00971284346431,236.60466231281055
106,159.45999999999998,127.93547194631674,85.87517278616772,190.35911207840917
107,281.62000000000006,145.6198311237126,97.42171779049623,217.4210493511812
108,269.5000000000001,212.13515521273936,141.37643719004157,318.05977761561684
109,117.29000000000005,240.69391508441402,159.90345346558203,362.0496880623346
110,307.2900000000001,128.59089736219724,84.29918198491562,195.88114573137835
111,289.91999999999996,221.01711576986247,141.2282522290986,345.5668664434583
112,126.41999999999996,249.5652700510167,157.03890425808422,396.26265409441027
113,291.8800000000001,179.68422010771573,110.24411401465491,292.46979554920716
114,299.79000000000013,221.6066284216302,133.61776491597578,367.1067728926834
115,217.75000000000009,251.15387923081184,149.83075076530488,420.5425467853091
116,207.29000000000002,235.05100503982317,139.6261369380827,395.22845506197774
117,205.42000000000002,225.42219197156876,134.12780931999225,378.3964341996103
118,237.00000000000009,215.9936393982892,129.24512472268043,360.5201692928729
119,323.0799999999999,223.5638857861549,134.75437665707585,370.4719189257811
