station,target,method,RMSE,MAE,PBIAS,NSE,KGE,Coverage,CalibrationError,AvgWidth,IntervalScore
Swift Creek,70%,DACP,3.1038996444940423,0.6354341808471677,-0.8262559254677758,0.8036727200774546,0.9009189334926949,0.7154236060825488,0.01542360608254889,1.0032262658220747,3.347568417206784
Swift Creek,70%,single_aci,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.7103548153511948,0.010354815351194868,0.9355412900242897,3.3083171191399403
Swift Creek,70%,split_conformal,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.7871107892831282,0.08711078928312821,1.358735198619069,3.2968687594165216
Swift Creek,80%,DACP,3.008160313449417,0.6230618898012672,-0.6654020067947808,0.8155973058496797,0.9070996686835444,0.8117306299782766,0.011730629978276563,1.4702046715206136,4.278162151380658
Swift Creek,80%,single_aci,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.8073859522085446,0.007385952208544544,1.383240503092449,4.345752298309907
Swift Creek,80%,split_conformal,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.8428674873280232,0.042867487328023146,1.7767578119654643,4.172659803592221
Swift Creek,90%,DACP,3.1107956747075947,0.6247705608440849,0.15457423679815527,0.8027993781613665,0.8732720992208102,0.8979000724112962,0.0020999275887038094,2.5007537410857865,6.4189976118254055
Swift Creek,90%,single_aci,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.8971759594496741,0.0028240405503259236,2.560483769478723,6.418487230491191
Swift Creek,90%,split_conformal,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.9109341057204924,0.01093410572049236,2.894411353726864,6.287242615880011
Swift Creek,95%,DACP,3.280804661447601,0.6373539713300096,0.6767705663413194,0.7806558511091996,0.8354815818175712,0.9478638667632151,0.002136133236784854,4.234434920125556,10.364884414975679
Swift Creek,95%,single_aci,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.945691527878349,0.004308472121650975,4.402282308070093,10.452925863671323
Swift Creek,95%,split_conformal,3.0678028790938616,0.6171129563710243,-0.3674520527867389,0.808212539504557,0.8997478071091284,0.946415640839971,0.0035843591600289715,5.14280066094167,10.565900587566649
Bunchgrass Meadow,70%,DACP,65.46939217745549,47.148722532584436,-0.3645732024671774,0.984292993072193,0.9900751477380877,0.7060101375814627,0.006010137581462738,164.39928386274053,239.87779684548565
Bunchgrass Meadow,70%,single_aci,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.7067342505430847,0.006734250543084741,181.70876366765384,256.569384154274
Bunchgrass Meadow,70%,split_conformal,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.7892831281679942,0.08928312816799422,225.78916586818355,278.36925923596345
Bunchgrass Meadow,80%,DACP,65.60067550409735,47.253573295514556,-0.37946038769763596,0.984229936564518,0.9894779608157066,0.8037653874004345,0.0037653874004344168,229.39033633355314,299.19333457970004
Bunchgrass Meadow,80%,single_aci,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.8052136133236785,0.005213613323678423,240.33670933798464,311.327393120004
Bunchgrass Meadow,80%,split_conformal,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.8515568428674873,0.051556842867487296,307.0476525098504,359.0056301992414
Bunchgrass Meadow,90%,DACP,65.47550014614224,47.038709039010534,-0.3959710181732246,0.9842900621642205,0.9894760686753584,0.9015206372194062,0.0015206372194062068,362.3351132901187,425.0469627769121
Bunchgrass Meadow,90%,single_aci,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.9015206372194062,0.0015206372194062068,365.2634217403084,427.67288424582654
Bunchgrass Meadow,90%,split_conformal,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.9268645908761767,0.026864590876176653,447.94198462661495,496.4829962829966
Bunchgrass Meadow,95%,DACP,65.53089646404354,47.023413687916914,-0.39980871495955267,0.9842634677629298,0.9894745477809453,0.9500362056480811,3.620564808115567e-05,505.5316358578613,562.8741775398455
Bunchgrass Meadow,95%,single_aci,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.9500362056480811,3.620564808115567e-05,498.6107803975327,558.6032121435302
Bunchgrass Meadow,95%,split_conformal,66.1117433629938,47.70868910680503,-0.3955171067206232,0.983983263282619,0.989871360208966,0.9652425778421434,0.015242577842143445,642.3453512589896,695.3820170217014
Touchet,70%,DACP,57.00942729485002,5.314674837236824,12.635327670322672,-1.8357578346989274,-0.23497150878179007,0.7089065894279507,0.00890658942795075,5.254590068920894,30.697853623818066
Touchet,70%,single_aci,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.7096307023895728,0.009630702389572865,5.001928992356672,30.979279428779503
Touchet,70%,split_conformal,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.7624909485879797,0.06249094858797977,6.583357981478759,30.426665914565355
Touchet,80%,DACP,56.959060997990626,5.318280671673709,12.623672136581227,-1.830749416408917,-0.23400631370825398,0.8015930485155685,0.001593048515568407,8.236313372670232,41.88118872487425
Touchet,80%,single_aci,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.8052136133236785,0.005213613323678423,7.995414979123663,42.295153237878914
Touchet,80%,split_conformal,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.833454018826937,0.03345401882693699,10.350218578628922,42.13730028786005
Touchet,90%,DACP,57.36903842423182,5.306860063506298,12.718172573055918,-1.8716461585133297,-0.24607919927940425,0.9000724112961622,7.241129616220032e-05,17.942841633996597,64.97750798282706
Touchet,90%,single_aci,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.8993482983345402,0.0006517016654598029,18.78236749087309,62.53250328907415
Touchet,90%,split_conformal,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.9087617668356264,0.00876176683562635,21.258845995822004,62.31855702508987
Touchet,95%,DACP,56.95321927624649,5.256261522385793,12.996050654827307,-1.8301688028194705,-0.2472425115784196,0.9500362056480811,3.620564808115567e-05,35.37995869356679,75.19173107804104
Touchet,95%,single_aci,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.9493120926864591,0.0006879073135408476,38.36495168790314,81.86041862072712
Touchet,95%,split_conformal,57.49477605349746,5.3485128325713305,12.90867391458215,-1.8842477177834334,-0.24904279074866675,0.9601737871107893,0.010173787110789312,55.3588445081706,86.32439239412214
Paradise,70%,DACP,7.129588929570396,1.5041884255088207,-2.5139701041422398,0.12424411890911047,0.5864538689763864,0.717595944967415,0.01759594496741501,2.1167602205930587,7.825168253855253
Paradise,70%,single_aci,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.717595944967415,0.01759594496741501,2.1449785222557285,7.832524277959226
