step,true_value,prediction,lower_bound,upper_bound,width,covered,k_adap,t_adap,n_cal
80,7.72,7.981836783754947,6.967176368934774,9.125719360822885,2.158542991888111,True,0.303,0.404,48
81,7.93,7.451592752239625,6.510352597045569,8.510794483578351,2.0004418865327827,True,0.306,0.40800000000000003,48
82,6.8,7.833299541123292,6.8532046257782815,8.935712171192304,2.082507545414022,False,0.299,0.4,47
83,6.26,6.4309420671689255,5.618102808998151,7.343614718487554,1.7255119094894038,True,0.302,0.404,48
84,7.77,6.079009508821772,5.317406481947974,6.93242856371289,1.6150220817649164,False,0.295,0.396,48
85,6.56,7.9440842741134645,6.992874844434016,9.008494447795703,2.0156196033616878,False,0.288,0.388,48
86,5.81,6.278376650354587,5.51000143260047,7.137443165395075,1.6274417327946047,True,0.291,0.392,49
87,5.28,5.627344562276697,4.934731538229627,6.400789010287844,1.4660574720582167,True,0.294,0.396,49
88,4.96,5.138845715772095,4.50788981016121,5.842080728000329,1.334190917839119,True,0.297,0.4,48
89,4.77,4.86504882769317,4.273008489967305,5.523561988696573,1.2505534987292686,True,0.3,0.404,48
90,4.68,4.700077611121265,4.134448339088509,5.3280186355081405,1.1935702964196313,True,0.303,0.40800000000000003,48
91,4.66,4.628967586675477,4.084140622595982,5.232179328600971,1.1480387060049884,True,0.306,0.41200000000000003,47
92,5.41,4.619040952609267,4.087312650507959,5.2063457460094344,1.1190330955014751,False,0.299,0.404,47
93,5.14,5.449775265598965,4.849107716657653,6.112127693983278,1.2630199773256248,True,0.302,0.40800000000000003,48
94,5.87,5.021789953348119,4.4707573155218725,5.6283244075478045,1.157567092025932,False,0.295,0.4,47
95,6.74,5.8577449992184,5.240883109463281,6.535578803421853,1.2946956939585714,False,0.288,0.392,48
96,9.71,6.692295771343248,6.009074735295819,7.442114896543172,1.4330401612473533,False,0.28099999999999997,0.384,49
97,8.91,9.99608261392341,9.019098986365243,11.06833399058912,2.049235004223876,False,0.27399999999999997,0.376,49
98,9.37,8.327178365612596,7.505680195604281,9.228018719644687,1.7223385240404063,False,0.26699999999999996,0.368,50
99,9.16,9.112385773810471,8.209356319743579,10.10396237130411,1.8946060515605314,True,0.26999999999999996,0.372,51
100,16.07,8.73591952327772,7.856135955998205,9.703102282383197,1.846966326384992,False,0.26299999999999996,0.364,50
101,16.21,16.44424163953972,14.831558992210526,18.221200295458868,3.3896413032483412,True,0.26599999999999996,0.368,51
102,13.27,15.303392825916681,13.771370111782641,16.994310319537046,3.222940207754405,False,0.25899999999999995,0.36,51
103,11.73,12.103156399732567,10.836205989829757,13.505721494149327,2.6695155043195697,True,0.26199999999999996,0.364,51
104,10.09,10.940192348330367,9.740279333179714,12.274160651920305,2.5338813187405904,True,0.26499999999999996,0.368,51
105,8.49,9.512663248520228,8.407321358682855,10.747880651996939,2.340559293314083,True,0.26799999999999996,0.372,51
106,7.44,8.134728661457581,7.137193412491621,9.254551353094131,2.11735794060251,True,0.27099999999999996,0.376,50
