step,true_value,prediction,lower_bound,upper_bound
80,168.78999999999994,184.5281354918363,168.78999999999994,201.72506660626175
81,199.45999999999995,156.34357389818007,142.99630191587585,170.928028134468
82,152.32999999999996,171.76809341151335,153.6905630185281,191.95820972268524
83,161.87999999999997,149.73702503144108,131.56946531007222,170.39430005382218
84,186.6699999999999,154.5441332761032,133.85500210403123,178.4073413602425
85,230.82999999999998,167.60932950994462,143.25315818248205,196.07787583984748
86,186.00000000000003,189.32531944407188,158.3683701458725,226.29558687418233
87,175.38,177.0067986383717,145.43774520042166,215.38150954942842
88,213.75000000000006,170.16455084368806,137.78509782151448,210.0983378287449
89,238.79000000000002,186.78700027155102,149.48684527065475,233.33249203652517
90,253.8299999999999,205.20426222163152,162.67440179782392,258.7852644721423
91,239.32999999999993,217.86593687311503,171.41490733227675,276.83153478155697
92,157.49999999999994,214.13963590278203,167.4862528301858,273.7112132823767
93,248.42000000000002,165.9408950294942,128.4466116131304,214.29541859728124
94,169.12000000000003,206.77720964127954,157.87634308812238,270.72937145444484
95,111.46000000000004,182.39995313629572,137.66744679165367,241.56264601837302
96,217.57999999999998,137.119396299002,101.20265364693647,185.65824177034568
97,198.29000000000005,175.74609042112994,126.60904763791628,243.8038055091024
98,201.95999999999992,186.6711012200208,131.72490471517963,264.3642306899103
99,153.61999999999998,190.26734466268744,131.94241143432504,274.1807849700978
100,194.99999999999991,175.05941565979697,119.60834778758364,256.0047464464166
101,232.79000000000002,182.41226776132905,123.13247463267783,270.00128362781976
102,161.87999999999997,198.72320349754443,132.84465812239995,297.02726963404865
103,173.49999999999994,185.9858506679893,123.31594382938847,280.2487865435497
104,275.5,195.66797399702193,128.92803420091062,296.6901192569742
105,159.32999999999996,204.2297028890059,133.9150226178618,311.1908156010889
106,227.45999999999992,184.56337753751745,120.52706424201547,282.34237560909065
107,159.45999999999998,207.3105259604811,135.04603994127044,317.9602229117779
108,171.71000000000004,203.0285570302803,131.99273277471494,312.0069682406942
109,263.2900000000001,205.33672423283275,133.33488595540126,315.9306577687554
110,265.67,188.9319511670246,122.58101039304854,290.9068711234796
111,138.62000000000006,175.7276599345876,113.98094151509645,270.633414846012
112,226.67000000000007,190.25750633378735,123.48003595476179,292.85783389645155
113,260.3799999999999,184.26194885052792,119.66762044001666,283.4341304381397
114,262.16999999999996,173.43595906757594,112.73725704602855,266.5280256100348
115,220.2899999999999,175.18683030267542,113.91484049290143,269.1287234873834
116,154.04000000000002,192.3591291499908,125.1939616924172,295.27212209068307
117,228.3300000000001,187.8642279723834,122.37006708278183,288.12764215058655
118,235.25000000000003,195.5991460813357,127.56585894841908,299.6336562136402
119,262.46000000000004,194.4276678648113,126.96673472704677,297.45235520420624
120,223.82999999999998,194.88062919012458,127.45178792749297,297.7052302734573
121,111.08000000000004,198.14377570667372,129.80159694236096,302.1938778254044
122,121.38000000000004,218.64907074621,142.4864979777649,335.23870510206376
123,259.33000000000004,191.8320025390567,123.83433065634333,296.8682306999921
124,252.00000000000003,206.34064541920108,132.22921929015058,321.6780391861762
125,297.95999999999987,193.0157393913388,122.90702653538503,302.7931599530246
126,314.29,187.0307670234771,118.48904077493745,294.88964074145343
127,271.1700000000001,213.3158493985507,134.07033833211025,339.0545513589125
128,306.03999999999996,217.8753079851685,136.00569774327425,348.66721263936734
129,325.61999999999995,231.2482732955953,143.53568632441997,372.1899146880257
130,315.92000000000013,235.87813871552947,145.69192347549318,381.51085180369694
131,292.42000000000013,239.13446579685038,147.08652806644128,388.3977555991226
132,276.66999999999996,236.16747298434123,144.73673549923888,384.9590380496205
133,158.99999999999994,237.9121613573541,145.36495275325268,388.97738031363474
134,286.2899999999999,188.36234472586773,114.7110012578426,308.8935901537538
135,192.0,246.49019811253703,149.8998796655281,404.90753483400715
136,148.61999999999998,210.47267325575217,127.69969785251513,346.4809364757196
137,299.95999999999987,208.56754234418338,126.33881877933896,343.8952583758927
138,301.24999999999994,225.44647826362677,136.41016571270984,372.1747738752359
139,136.88,262.4338688878194,158.67205846064573,433.6245920936077
140,177.88,175.74897894191304,105.26875643579686,292.97353093035247
141,208.88000000000002,248.88992367952093,148.21589716177147,417.4874074701134
142,242.42000000000002,207.73236952976248,122.91422606018094,350.60774896297403
143,119.24999999999997,244.21100602892184,143.8493623460311,414.11012892189973
144,137.12000000000003,167.95341559250087,97.98382638086139,287.3830387657308
145,211.87999999999997,213.72362175166953,123.92076195882252,368.08383374536237
146,341.5799999999998,219.07091168119905,126.27155522936603,379.5344099151806
147,346.71,268.73811141150435,154.2075496741318,467.78292261302096
148,278.49999999999994,248.5629911318252,141.9822940480397,434.5902033697812
149,334.0400000000001,239.47876540492447,136.2747395024184,420.2722371231153
150,349.3799999999999,274.7391107670806,155.9142224155343,483.545352461902
151,340.16999999999996,267.05072821100754,151.13651613881308,471.2810454584923
152,330.78999999999996,272.6773004784006,153.98151765660097,482.27868980546555
153,320.75000000000006,271.64675137829124,153.10346982946214,481.3788271568422
154,362.2500000000001,269.47672666403736,151.62908701994726,478.316630239237
155,239.88,300.334722535202,168.80778603010788,533.7376414722667
156,215.79000000000008,231.59147555419207,129.91610634122827,412.2325350363667
157,211.96000000000006,241.69190668331038,135.46516824230773,430.6072909168943
158,184.79000000000005,233.81621957794127,130.92489671575203,416.95489971600097
159,280.9600000000001,216.3056983035137,120.99923656529867,386.0660820889876
160,174.53999999999996,279.400109547724,156.32524087597645,498.7559259823867
161,342.96,199.80251211165236,111.60650050108221,357.07567672314605
162,325.54000000000013,265.77092399785846,148.5342900680394,474.92245135406534
163,324.8300000000001,257.5691513544922,143.88245389481227,460.46378829780593
164,336.42000000000013,276.60595017659017,154.49954370342036,494.59671840858493
165,355.4200000000001,277.7117480799212,155.07656533863576,496.70597109966144
166,348.9999999999999,293.9974843223218,164.15833682153215,525.9096155317603
167,301.6699999999999,296.5914867341566,165.57794155561496,530.6471805907038
168,251.50000000000006,276.428288753752,154.26562318070012,494.70828251699123
169,185.45999999999998,256.93010697584566,143.3328039377904,459.934300931656
170,164.38000000000002,216.8508082182679,121.12500727480258,387.6097999123273
171,184.88,187.02301407768442,105.16584563077406,331.9946049297941
172,132.32999999999998,206.82411678501438,117.06709686942129,364.816257557676
173,166.71,164.27738382694722,93.38579315691454,288.414462611621
174,218.88000000000002,191.2030885222094,109.2490312422155,334.0780212872363
175,304.9199999999999,222.12723176741417,127.7972801504113,385.54357838961226
176,262.99999999999994,285.2395777652583,165.11641032147477,492.22698293728655
177,173.83000000000007,264.3327516454912,153.68676085974448,454.12278300016504
178,187.20999999999992,205.09792974116212,119.6197513358338,351.1509219939346
179,264.1200000000001,206.59404998051582,120.8961078961671,352.5411452515129
180,361.6699999999999,257.378836008262,151.1414292393727,437.7997617134755
181,333.83000000000004,321.2479055537755,189.2014976334509,544.9668505550817
182,148.71000000000006,305.0515292338532,180.00753999432717,516.4786561339691
183,224.91999999999996,182.09354529618602,105.93119860143536,312.50295112727304
184,111.25000000000001,239.96610962338698,138.23142308514824,416.03707898984976
185,159.29,165.12049052638045,92.97319952631594,292.6583782591904
186,140.42000000000004,189.97898982721475,105.10747660270295,342.7361411579766
187,150.61999999999995,173.15897337066423,94.29253900462335,317.2971964263869
188,334.16999999999996,174.6991879700304,94.43830187999289,322.45718694937847
189,320.9599999999999,263.5525045771912,141.01166726670934,491.8329413006724
190,152.49999999999994,271.154328008684,143.62977604642745,511.1212261995198
191,226.03999999999996,188.13313502779812,98.65425842196865,357.95448254680474
192,276.16999999999996,229.3229903880868,120.73091440969979,434.78642416805576
193,240.17,254.3309880547054,134.30136251663234,480.8422538278426
194,223.24999999999991,231.54971011224282,122.50349267377898,436.8772332871017
195,167.83000000000007,223.8166826543115,118.62227185992182,421.5178138973563
196,200.53999999999996,193.43637596054208,102.62346057310049,363.8353769270196
197,154.38000000000002,216.03623464234823,114.82580402801506,405.68595001796933
198,224.04000000000008,186.77542301850994,99.32645209991075,350.4487829657012
199,191.17000000000004,219.39128728759297,116.86889459128939,411.08768166280805
200,353.49999999999994,198.31694411389407,105.68733830174212,371.3707502997332
201,355.33000000000004,239.64483143052198,127.8791960944967,448.33501021967624
202,350.4199999999999,243.29382531540836,129.8943036574058,454.9363655995025
203,303.0400000000001,254.01289649678577,135.6916800919232,474.7537352379279
204,134.96000000000004,244.11721684987083,130.43156601239136,456.138660210151
205,339.16999999999985,183.6325011217315,97.95751913979058,343.4827716659988
206,349.3299999999999,247.0091480423618,131.72602475147042,462.4248454880866
207,152.32999999999996,249.87778115339495,133.0899306289373,468.38394837880554
208,318.24999999999994,213.5627911505828,113.55580954376543,400.8756580716262
209,338.67000000000013,249.10286340797475,132.40767141684788,467.8744029525767
210,293.91999999999996,223.36888133592873,118.58708474735477,419.96013142464045
211,286.12000000000006,255.28803419283525,135.50877683225207,480.1672772597084
212,302.8800000000001,219.8869304332225,116.58617573950427,413.93853958054547
213,152.88000000000002,249.55364371669964,132.31464773720742,469.8944549248813
214,315.4600000000001,218.15436504706827,115.5599995887241,411.0507540206778
215,330.54,278.70990820578874,147.715483836372,525.0893535105848
216,325.70999999999987,215.2624993874092,113.94792670506293,405.8752693669001
217,326.75,265.9336997187716,140.8450481693121,501.3340678096856
218,325.54000000000013,240.73894533355144,127.42944854042261,454.0180535314279
219,318.37999999999994,266.61519779718935,141.15099575964774,502.8156342789325
220,159.70999999999998,256.6716018075065,135.84806398259778,484.170578565797
221,138.74999999999997,253.08597926517163,133.92605537658096,477.481970579767
222,78.28999999999998,234.6375473169327,124.11552008383073,442.79029610664156
223,181.96000000000006,157.8355283022285,82.60847792746672,300.74840729590653
224,263.32999999999987,213.2715907929732,110.96127533228412,409.07316578603235
225,291.38000000000005,248.59650282348977,128.60514126450488,479.6785719601547
226,292.88000000000005,256.91122293406676,132.2117064671739,498.3419923776544
227,124.24999999999994,258.07425216599876,132.20838372084822,502.86819703500964
228,99.46000000000002,208.50583501797408,105.79680268116681,409.9925934544749
229,274.9999999999999,191.87076746217096,96.46091566420054,380.68257180771445
230,272.71,288.24243505353905,144.07672602865557,575.6685568791784
231,280.0799999999999,212.19798280831037,105.26120537716551,426.75140477843746
