step,true_value,prediction,lower_bound,upper_bound,width,covered,k_adap,t_adap,n_cal
80,252.68,264.1640017435962,220.59643537009703,316.29728731081394,95.70085194071692,True,0.202,0.404,48
81,231.03,270.2776145809237,226.499329210891,322.48026883409887,95.98093962320786,True,0.20400000000000001,0.40800000000000003,48
82,243.66,235.94466103998406,198.14636184317735,280.9171381075188,82.77077626434144,True,0.20600000000000002,0.41200000000000003,47
83,254.98,268.7578053452064,225.5427296742112,320.2165477537551,94.6738180795439,True,0.20800000000000002,0.41600000000000004,47
84,307.74,266.23592845348713,223.65955714617965,316.881163675265,93.22160652908534,True,0.21000000000000002,0.42000000000000004,47
85,493.27,336.67502497022707,283.3959881281523,399.9354113577112,116.5394232295589,False,0.202,0.41200000000000003,46
86,521.03,530.4483193646033,446.1454081759333,630.6453462143884,184.49993803845507,True,0.20400000000000001,0.41600000000000004,47
87,488.52,441.71459452728004,371.9470934205091,524.533556006193,152.58646258568388,True,0.20600000000000002,0.42000000000000004,47
88,529.58,454.0875320050137,383.56079168708516,537.5485630967138,153.98777140962864,True,0.20800000000000002,0.42400000000000004,46
89,410.36,504.4475547539239,427.17577330538813,595.6643760213559,168.48860271596777,False,0.2,0.41600000000000004,46
90,388.18,345.62281342764004,292.5776571740176,408.2524476999809,115.67479052596332,True,0.202,0.42000000000000004,47
91,399.36,393.92743994251566,334.3097737494802,464.14505400632123,129.83528025684103,True,0.20400000000000001,0.42400000000000004,46
92,448.79,383.47323415997,326.29621038611185,450.63880025083097,124.34258986471912,True,0.20600000000000002,0.42800000000000005,46
93,467.37,448.24947665490043,382.4689915727256,525.3139829036878,142.84499133096222,True,0.20800000000000002,0.43200000000000005,46
94,456.79,436.1187801109713,372.9030471048495,510.02238776921007,137.11934066436055,True,0.21000000000000002,0.43600000000000005,45
95,484.81,434.63685737445945,372.2580777119072,507.4403602634773,135.1822825515701,True,0.21200000000000002,0.44000000000000006,45
96,479.44,471.0476709983622,404.01106991592013,549.18003271179,145.16896279586985,True,0.21400000000000002,0.44400000000000006,45
97,488.7,446.59651629925236,383.3806691595158,520.2089407131081,136.8282715535923,True,0.21600000000000003,0.44800000000000006,44
98,594.12,472.1208623758411,405.1233993012765,550.170779128648,145.04737982737146,False,0.20800000000000002,0.44000000000000006,44
99,706.65,603.1017407941735,515.9601287502803,704.9324170952376,188.9722883449573,False,0.2,0.43200000000000005,45
100,868.74,688.5249698359843,590.1780385995717,803.2326557894222,213.05461718985055,False,0.192,0.42400000000000004,45
101,948.11,883.1180575212658,756.1722094597567,1031.3473707426413,275.1751612828846,True,0.194,0.42800000000000005,46
102,946.84,908.3564042830602,777.0910565958892,1061.7664500198616,284.6753934239724,True,0.196,0.43200000000000005,46
103,963.69,903.829250008074,774.3299441577757,1054.9581476754745,280.6282035176988,True,0.198,0.43600000000000005,45
104,958.35,935.3536045335944,800.7193232470839,1092.597281866742,291.877958619658,True,0.2,0.44000000000000006,45
105,874.99,912.3130997101474,773.8381596500384,1075.5355419238822,301.6973822738438,True,0.202,0.44400000000000006,45
106,783.84,807.4501260374146,686.2116084801694,950.0776567575576,263.86604827738824,True,0.20400000000000001,0.44800000000000006,44
107,786.65,732.0960404012047,617.0955395970774,868.4930961680508,251.3975565709734,True,0.20600000000000002,0.45200000000000007,44
108,706.5,785.4600429444615,658.6159857135558,936.6961937620503,278.08020804849446,True,0.20800000000000002,0.45600000000000007,44
109,707.74,636.245085728702,530.0824280839125,763.629514763796,233.54708667988348,True,0.21000000000000002,0.4600000000000001,44
110,719.01,725.0869873441684,600.8200820036527,875.0131623313473,274.1930803276946,True,0.21200000000000002,0.4640000000000001,43
111,738.74,692.7402185563756,571.0268060419675,840.3512894137665,269.32448337179903,True,0.21400000000000002,0.4680000000000001,43
112,897.49,737.7454776025018,611.8281543035769,889.5349351945775,277.7067808910007,False,0.20600000000000002,0.4600000000000001,43
113,1108.78,959.0083026199037,790.6110411349958,1163.2282550503016,372.6172139153058,True,0.20800000000000002,0.4640000000000001,43
114,1218.27,1155.089549097126,952.6943983559876,1400.437449811572,447.74305145558435,True,0.21000000000000002,0.4680000000000001,43
115,1335.31,1210.3479354117135,988.8920391999302,1481.347329323107,492.45529012317684,True,0.21200000000000002,0.4720000000000001,43
116,1445.43,1364.405481164788,1111.1511760817696,1675.3297725072705,564.1785964255009,True,0.21400000000000002,0.4760000000000001,42
117,1482.24,1447.4760214830437,1176.368496154557,1781.0102981045998,604.6418019500427,True,0.21600000000000003,0.4800000000000001,42
118,1412.24,1455.9361864011553,1180.082001966536,1796.219031117946,616.1370291514102,True,0.21800000000000003,0.4840000000000001,42
119,1368.79,1341.5072254416446,1090.1558383426132,1650.7582429844533,560.6024046418402,True,0.22000000000000003,0.4880000000000001,41
120,1345.14,1345.0261561704572,1095.554830891695,1651.2533685084493,555.6985376167543,True,0.22200000000000003,0.4920000000000001,41
121,1241.46,1310.1436321552019,1074.884427607322,1596.8459953772785,521.9615677699564,True,0.22400000000000003,0.4960000000000001,41
122,1112.47,1172.1518752862091,960.1940502147737,1430.849606414049,470.65555619927534,True,0.22600000000000003,0.5,40
123,1047.16,1049.6733084197879,866.0917022620691,1272.1230135704106,406.0313113083415,True,0.22800000000000004,0.5,40
124,1014.3,1018.8661561798586,837.3089566914151,1239.744200832814,402.4352441413988,True,0.23000000000000004,0.5,40
125,986.63,995.5495625953334,826.3704951949652,1199.322028011078,372.9515328161127,True,0.23200000000000004,0.5,40
126,1038.49,968.9265029177702,805.4305503511321,1165.5696700759604,360.13911972482833,True,0.23400000000000004,0.5,40
127,1108.81,1062.6676676629222,885.1125748457839,1275.8004194369819,390.687844591198,True,0.23600000000000004,0.5,40
128,1130.22,1113.8676515459892,917.0229847034204,1352.9202189640323,435.89723426061187,True,0.23800000000000004,0.5,40
129,1189.69,1123.6332815688847,916.0460396014147,1378.2110356445482,462.16499604313356,True,0.24000000000000005,0.5,40
130,1228.86,1223.476632854027,992.3460908854659,1508.3863439569443,516.0402530714784,True,0.24200000000000005,0.5,40
131,1257.03,1215.473564921302,974.6244215312394,1515.7803321587496,541.1559106275103,True,0.24400000000000005,0.5,40
132,1347.58,1269.1996034479728,1018.3908949572511,1581.716738574604,563.3258436173529,True,0.24600000000000005,0.5,40
133,1379.65,1385.1497791712486,1100.0568229320752,1744.060899926901,644.0040769948257,True,0.24800000000000005,0.5,40
134,1626.45,1353.526144298712,1074.213103253426,1705.3976155397447,631.1845122863187,True,0.25000000000000006,0.5,40
135,1829.53,1812.962173393991,1424.8163108238723,2306.7718648084074,881.9555539845351,True,0.25200000000000006,0.5,40
136,1959.38,1796.906745906825,1421.1615190250145,2271.9265443726385,850.765025347624,True,0.25400000000000006,0.5,40
137,2026.04,2040.9220874057442,1599.9958966983565,2603.282634099091,1003.2867374007344,True,0.25600000000000006,0.5,40
138,2048.63,1988.3465983498331,1570.7123017896395,2516.954388891543,946.2420871019037,True,0.25800000000000006,0.5,40
139,2040.05,2050.024491262264,1628.6063165019918,2580.4219183854557,951.8156018834638,True,0.26000000000000006,0.5,40
140,2025.77,2002.807318773396,1605.370956969762,2498.574431016938,893.2034740471761,True,0.26200000000000007,0.5,40
141,1886.96,2004.0885034607406,1617.389496050231,2483.185615713888,865.7961196636572,True,0.26400000000000007,0.5,40
142,1756.2,1785.910271812599,1451.2608630633158,2197.6740817170707,746.4132186537549,True,0.26600000000000007,0.5,40
143,1664.5,1709.4400476232859,1396.4060321208058,2092.5970571655794,696.1910250447736,True,0.26800000000000007,0.5,40
144,1584.83,1611.5017193705855,1323.1815907868925,1962.5991113786392,639.4175205917468,True,0.2700000000000001,0.5,40
145,1549.22,1546.8889079181167,1274.795117265107,1877.0132004205389,602.2180831554319,True,0.2720000000000001,0.5,40
146,1467.05,1530.3428014071285,1266.750205295352,1848.7419804204308,581.9917751250787,True,0.2740000000000001,0.5,40
147,1455.75,1410.0840882840973,1163.2305684894015,1709.2783229546242,546.0477544652226,True,0.2760000000000001,0.5,40
148,1365.61,1474.6850926564423,1224.6077159789584,1775.7891506370374,551.1814346580791,True,0.2780000000000001,0.5,40
149,1356.96,1285.747773337379,1071.7102871726443,1542.49207981654,470.78179264389564,True,0.2800000000000001,0.5,40
150,1451.77,1394.4466029123803,1168.9602583086964,1663.3909122132857,494.43065390458924,True,0.2820000000000001,0.5,40
151,1458.23,1476.841800337965,1241.1459690214394,1757.2606563918746,516.1146873704351,True,0.2840000000000001,0.5,40
152,1444.1,1431.9182771129963,1210.451139851637,1693.872142458782,483.42100260714506,True,0.2860000000000001,0.5,40
153,1461.29,1442.358206901704,1225.772267895743,1697.182268991061,471.41000109531797,True,0.2880000000000001,0.5,40
154,1469.7,1465.5927894188385,1251.558683103518,1716.2005104351415,464.6418273316235,True,0.2900000000000001,0.5,40
155,1401.12,1466.543208842316,1258.6419519196181,1708.7581312984366,450.1161793788185,True,0.2920000000000001,0.5,40
156,1335.08,1365.660264478712,1179.4923261937136,1581.1875645115642,401.6952383178507,True,0.2940000000000001,0.5,40
157,1278.12,1324.2371450167539,1145.9128244880121,1530.2876907764612,384.3748662884491,True,0.2960000000000001,0.5,40
158,1280.45,1261.3811169420858,1098.2238243715544,1448.7557722814468,350.5319479098923,True,0.2980000000000001,0.5,40
