target,split_conformal,single_aci,DACP
70%,0.08870383779869659,0.01281679942070966,0.01339608979000724
80%,0.04648805213613314,0.007385952208544459,0.007096307023895659
90%,0.01165821868211434,0.00114409847936278,0.0014627081824764398
95%,0.01070963070238952,0.003598841419261331,0.0030340333091961823
