target,low,medium,high
70%,0.7482602103888227,0.7242372234935164,0.6673913043478261
80%,0.8366291138945258,0.8257322654462242,0.7586956521739131
90%,0.909884542719194,0.913741418764302,0.8756521739130434
95%,0.9540988500921326,0.9577459954233409,0.9291304347826086
