station,d_selected,p,d,q,aic,bic
Swift Creek,0,3,0,2,-1572.8107588585679,-1535.802623976313
Bunchgrass Meadow,0,3,0,1,-2310.212373406197,-2278.4911149356926
Touchet,1,2,1,3,-1210.9081397022521,-1179.1909894140379
Paradise,0,2,0,2,-226.17596991411415,-194.45471144360994
Easy Pass,0,3,0,1,732.963847036601,764.6851055071052
